Zfin olfactory system,Daniocell OE,Daniocell olfactory (not OE)
mScarlet,adma,BX324188.1
abca5,agr2,calm2b
abca12,anxa1a,chodl
abcc4,apoeb,cnga3b
ackr3b,c8h22orf15,CU681855.1
acsbg2,ccdc169,dpysl5a
acsl1b,ccdc17,ebf2
acsl4a,ccna2,elavl3
acy1,cdca5,emx1
adam19b,cfap157,emx2
adcyap1b,cfl1l,eno1a
adgb,cldne,fabp10b
adgrg6,col11a1a,foxj1a
adorb1a,col14a1a,foxj1b
adra2a,col1a1a,gap43
agbl2,col1a1b,gapdhs
agbl4,col1a2,gmnc
agbl5,CR407547.1,gnal
agr1,crocc2,gnao1b
agr2,dla,gnb1a
agtpbp1,dmrt3a,gng13b
ahcyl1,egfl6,gng8
ahi1,elavl3,h3f3d
ak4,FO904966.1,hnrnpaba
ak7b,gmnc,inaa
ak8,gna14,inab
alcamb,gnal,inafm2
aldh3b1,gng13b,lhx2a
aldoaa,h3f3a,mafaa
aldocb,her4.2,neurod1
alox12,hmgb2a,neurod4
alpl,hmgb2b,neurod6b
alx3,hmgn2,nrsn1
ampd3b,igf2b,ompa
ankrd45,krt18b,ompb
anos1a,krt1-c5,ora3
anos1b,krt8,ora6
anxa5b,mad2l1,ppp1r14ba
anxa11a,malb,ptmab
anxa11b,matn4,pvalb5
anxa13l,mhc2dbb,rtca
ap1s1,moxd1l,s100z
ap1s3b,muc5e,si:ch211-153b23.5
ap2m1a,neurod4,si:ch211-193l2.6
aplp1,nudt9,si:ch211-222l21.1
aplp2,odf3b,si:dkey-261e22.4
apoeb,ompb,stmn1a
appa,si:ch211-207n23.2,stmn1b
appb,si:ch211-243g18.2,tfap2e
appl1,si:dkey-11c5.11,tmsb
appl2,si:dkey-247k7.2,trpc2b
aqp4,si:dkey-88n24.12,tuba1c
ar,six3b,v2rl1
arfip2b,sox7,
arhgef1a,sp8a,
arhgef7b,sp8b,
arl13a,srd5a2b,
arl13b,stm,
arnt2,stmn1a,
arrb2b,tbata,
arrdc1a,tmsb4x,
ascl1a,tubb2b,
asic2,wu:fj16a03,
atf5a,zgc:101785,
atf5b,,
atp1a1a.2,,
atp1a1a.4,,
atp1a2a,,
atp1a3a,,
atp1a3al,,
atp1a3b,,
atp1b1a,,
atp1b1b,,
atp1b2a,,
atp2b1a,,
atp6v1aa,,
atp6v1ba,,
atp6v1c1b,,
atp11c,,
atxn1a,,
atxn1b,,
b4galt1,,
bap1,,
barx2,,
bcl2l1,,
bcl2l10,,
bdnf,,
bhlhe22,,
bmp4,,
bmp5,,
boc,,
brpf1,,
btg1,,
ca2,,
cabin1,,
cacnb1,,
cacnb2a,,
cadm1a,,
cadm1b,,
cadm2a,,
cadm2b,,
cadm3,,
cadm4,,
cadpsa,,
calb2a,,
calb2b,,
calm1a,,
calm1b,,
calm2a,,
calr,,
camk1gb,,
camk2g1,,
camk4,,
capn1,,
capn2l,,
capn9,,
capns1a,,
capns1b,,
capsla,,
capslb,,
cart4,,
casp3a,,
casp9,,
casp20,,
casr,,
casz1,,
catip,,
cbfa2t3,,
cby1,,
cc2d2a,,
ccdc24,,
ccdc40,,
ccdc85al,,
ccdc103,,
ccnd1,,
ccng2,,
cd9b,,
cd34,,
cd99l2,,
cdc25d,,
cdc42ep3,,
cdh1,,
cdh23,,
cdr2l,,
cebp1,,
celsr1a,,
celsr1b,,
celsr3,,
cep83,,
cep290,,
Cerulean,,
cetn4,,
cfap52,,
cfap161,,
