Gene,Cluster
ABCE1,23
AHCY,27
ANXIV,41
ARPC1A,6
B-FABP,48
CFL2,1
CH211-265P12.8,13
CK-M,43
COX4I1,7
CRMP-5a,37
Cul1,8
DKEY-238C7.11,41
DKEYP-88A5.2,3
DNCL2A,2
DUF140,32
EEF2,34
ENO1,1
ETFA,2
GAD67,44
GORASP2,18
GP96,18
GRK1B,13
H-FABP,1
HBP,18
HMGB1,39
LAMP,8
LOC100001114,2
LOC100008021,18
LOC100329813,42
LOC100330283,49
LOC100333227,13
LOC100536182,7
LOC100537594,34
LOC100537809,6
LOC100538266,25
LOC101884341,15
LOC101884937,3
LOC103908715,6
LOC103909414,25
LOC108179061,23
LOC110437892,2
LOC110439971,4
LOC110440214,2
LOC558044,24
LOC559637,33
LOC560138,8
LOC560210,39
LOC563500,44
LOC563561,13
LOC569982,19
LOC570405,36
LOC797949,8
MGC174082,13
OTTDARP00000001847,30
PACAP2,28
PCBP3,2
PMCA2,9
PSMA5,17
PYCa,13
SEC63-like,13
SET,19
SFRS5,39
SLC12A5,19
SLC25A5,4
SNRPD3,17
SUCLA2,37
SUCLG1,2
Six6,33
Snrpn,8
TIA1,44
TKT,37
TOM70,25
TXN,27
Tubb5,31
VDAC1,19
VSNL1,24
Y,24
aars1,3
acadm,25
acbd5a,2
acbd7,9
acin1a,10
aclyb,41
acp1,37
acss2,6
actba,46
actbb,46
actc,46
actc1a,46
actc2,46
actn1,21
actn2,32
adrbk2,6
agpat9l,15
ahcyl2,6
ak2,18
aldh2a,11
aldoa,50
aldoab,24
aldocb,12
alpha2(I),2
alpl,49
amhc,11
anp32a,2
anp32e,11
anx,18
ap1b1,2
ap2a1,10
apex1,25
api5,41
apoba,1
apobb.1,30
arcn1,2
arcn1l,2
arf1,37
arf1l,37
arfgef1,6
arid1b,8
arl3,25
arl8a,25
arpc2,8
arr3,37
arr3l,43
arvcfb,40
atp1a1,31
atp1a3b,31
atp1b2a,37
atp1b4,2
atp2a1l,11
atp2a2b,42
atp2b1b,25
atp2b3a,9
atp2b3b,9
atp5a1,19
atp5b,19
atp5f1c,9
atp5f1e,2
atp5h,19
atp5ia,30
atp5j,16
atp5mf,49
atp5o,25
atp6ap1a,10
atp6e,7
atp6v0a1a,19
atp6v0a1b,19
atp6v0d1,19
atp6v1ab,24
atp6v1c1a,23
atp[a]1A1,31
atrx,24
babam2,2
banf1,22
bat1,12
baz1b,41
bfsp1,23
bhmt,9
borcs7,6
bphl,49
bri3bp,10
bsg,25
btbd17a,44
btbd17b,25
btf3,1
btf3l4,2
bub3,23
c1qbp,17
cacna1ha,8
cacna2d2a,8
cad,8
cadpsb,45
calb2,10
calb2l,2
calm3b,19
camk2b,37
camk2b1,37
camk2d1,37
camk2d2,13
camk2g1,37
camk2g2,37
canx,44
capn3a,6
cat,33
catD,48
cb112,40
cb126,22
cb195,11
cb279,11
cb28,39
cb465,2
cb572,2
cb712,25
cb718,25
cb75,9
cb758,12
cb828,25
cb863,12
cb948,14
cbx1a,27
cbx3a,14
cct8,12
cdc73,6
cdk12,29
celf3,25
celf3b,25
celf4,25
celf5a,25
cetp,10
chchd6a,2
chchd6b,29
chd4a,10
chd4b,10
chd8,2
chmp1b,8
chmp4c,28
chodl,6
chunp6890,25
chunp6933,34
chunp6934,2
cirbpb,25
ckb,43
ckba,43
ckii,36
ckmt2,43
clcc1,6
clcn3,33
cltb,13
cltca,39
cltcb,39
cltcl1,37
cmlc1,2
cmpk,37
cnbp,2
cnot1,2
cobra1,2
col1a3,6
col2a1,6
copg2,23
cops3,18
cops5,6
coro1cb,2
cox5ab,30
cox5b1,25
cox6c,7
cox7a2,7
cpn10,7
cpsf6,2
crmp1,25
crmp5.2,37
crs,1
crx,25
cryba1b,25
cryba1c,25
cryba1l,27
cryba2,27
cryba22,27
crybb1l1,27
crybb1l2,27
crygEM2-2,23
crygEM2-6,25
crygEM2-8,27
crygM2a,6
crygem2-7,25
crygm2d12,23
crygm2d13,23
crygm2d14,27
crygm2d9,25
crygnb,27
cs,3
csnk2b,10
ctage5,29
ctbp1,25
ctbp2l,25
ctnnb1,39
cwc27,41
cyc,25
cyt1l,22
dbn1,15
dcaf7,2
dcamkl1,25
ddost,39
ddx39aa,12
ddx39b,12
ddx5,50
ddx6,6
desma,20
dhtkd1,13
dhx9,2
dis3,2
dnaja2,44
dnaja2l,8
dnajc6,2
dnajc7,38
dnm1a,37
dnm1b,37
dnm2a,10
dnm3b,23
dock10,2
dpy30,8
dpys,44
dpysl2a,25
dpysl2b,34
dpysl3,27
dpysl4,44
drada,27
dspa,44
dye,32
dynll1,3
dynll2b,3
eea1,35
eef1a,19
eef1da,2
eef1db,2
eef1g,23
eef2l2,34
eif2s3,25
eif3a,2
eif3c,8
eif3d,10
eif3ea,8
eif3m,28
eif4a3,23
eif4g1a,25
eif4h,6
elavl1,18
elavl1b,40
elavl2,13
elavl3,13
elavl4,13
emc1,25
emc2,33
emc3,37
emc7,29
eml1,2
engase,47
eno3,32
epb41a,13
epb41l3a,6
epd,33
epn1b,2
erh,2
erlin1,12
erlin2,11
erp57l1,29
etf1,32
fa08f12,25
fa11g05,40
fa13h08,48
fa19b06,21
fa22e07,4
fa93d05,27
fa93f02,2
fa93f03,4
fa94d03,49
fa95a02,7
fa95c01,2
fa96d06,25
fam76b,33
farsa,18
faub,18
fb01d07,48
fb08c07,18
fb11d08,1
fb13d02,2
fb14f11,1
fb14g10,25
fb19a06,17
fb22g06,4
fb37h03,12
fb37h12,10
fb54c08,12
fb58f05,2
fb59c09,1
fb73d10,23
fb75b09,2
fb78f10,16
fbxo11a,8
fc02c04,2
fc09e02,24
fc15d06,19
fc21c08,9
fc22d10,9
fc25b01,25
fc63e02,21
fc85a11,20
fc94f01,43
fd02b12,31
fd36h02,13
fd56c08,49
fe36b09,44
fe38c12,26
fi14g08,43
fi15b02,2
fi36d04,39
fj08b08,15
fj33a08,31
fj36f06,25
fj41e11,31
fj48e12,2
fj64c01,16
fj82a01,23
fk26a01,21
fk58f09,30
fk70a07,37
flot2a,13
fmn2b,8
fscn1b,2
fscn2a,2
fubp1,20
fus,40
gabrp,9
ganab,18
gapdh,4
gapdh-2,4
gars,29
gcn1,37
gdi1,50
gfap,36
gnai2,16
gnai2l,16
gnai3,16
gnao1a,16
gnas,16
gnat2,16
gnb1,19
gnb2,39
gnb2l1,1
gnb3,16
gnb4a,25
gnb4b,37
gnb5b,25
gngt2,9
gngt2b,25
got2a,10
gpm6ab,10
grhprb,35
grk1,2
grk7a,25
gsk3a,15
gstm,2
gstp1,6
gucy2d,25
h2ax,36
h2az2a,36
h3f3d,36
hadh2,9
hapln1a,44
hbae1.3,30
hbbe1.3,11
hcfc1a,27
hcfc1b,27
hdac1,10
hdgfl2,9
hgs,2
histh1l,19
hm:zeh0438,16
hm:zeh0659,17
hm:zeh0819,24
hm:zeh1094,15
hm:zehl0637,22
hm:zehn0976,26
hm:zehn1044,10
hmgb1b,39
hmgb2,19
hmgb3a,12
hmgn3,9
hmgn6,2
hmgn7,14
hnrnpa0a,1
hnrnpa1a,48
hnrnpa3,31
hnrnpl,11
hnrnpua,23
hnrnpub,13
hnrnpul1l,50
hnrpa0,48
hnrpa0l,50
hnrpa1,1
hnrpab,11
hnrpdl,25
hnrpk,44
hnrpul1,2
hp1bp3,39
hsd17b12a,38
hsdl2,8
hsf1,44
hsp70.1,39
hsp90a2,20
hsp90ab1,12
hspa8,39
hspa8b,39
huwe1,6
id:ibd2759,45
igf2bp1,2
igf2bp3,2
iglon5,25
ilf2,17
