,OE1_NPB_neg_R1,OE1_NPB_neg_R2,OE1_NPB_pos_R1,OE1_NPB_pos_R2,OE1_PB_neg_R1,OE1_PB_neg_R2,OE1_PB_neg_R3,OE1_PB_pos_R2,OE1_PB_pos_R3,OE2_NPB_neg_R1,OE2_NPB_pos_R1,OE2_PB_neg_R1,OE2_PB_neg_R2,OE2_PB_neg_R3,OE2_PB_pos_R1,OE2_PB_pos_R2,OE2_PB_pos_R3
OE1_NPB_neg_R1,1.0,0.5141261059716489,-0.14693248384720106,-0.16727612658179167,0.1181351758612123,0.032553518443942435,0.04567899728538467,-0.17413845976514405,-0.040668656108331466,-0.06431756068221096,-0.0462616404771989,0.020127204117682363,-0.014032954404805507,-0.01903895136289838,-0.1847380482214608,-0.18798066913666134,-0.18715622992758985
OE1_NPB_neg_R2,0.5141261059716489,1.0,-0.09649762287579289,-0.12767832312278682,0.02322881266828043,-0.005716402895143746,0.07692931007417568,-0.12835296334307822,0.01745444736059217,-0.07524769982424757,-0.1002900293475917,0.007116833897385744,-0.0804125878139675,-0.10786405092422029,-0.2545376269841921,-0.24311041578727358,-0.16936414870565053
OE1_NPB_pos_R1,-0.14693248384720106,-0.09649762287579289,1.0,0.08965431167932593,-0.1882301819380824,-0.14784273221277425,-0.15822937637868828,0.2513193334013376,-0.014353969632117092,-0.23698698422271425,-0.19202495145632822,-0.22431846036707734,-0.2533297595801061,-0.2450435155488442,-0.20240444470203603,-0.14974381307701437,-0.14557747787703598
OE1_NPB_pos_R2,-0.16727612658179167,-0.12767832312278682,0.08965431167932593,1.0,-0.1966259788182372,-0.11330742837391371,-0.16026526674042474,0.15392648916741988,-0.011411316073604664,-0.2096064418551919,-0.14106028375826943,-0.2162006382308304,-0.22759676208819746,-0.22649911542990644,-0.1722135940265967,-0.11499200329293516,-0.08562575171035335
OE1_PB_neg_R1,0.1181351758612123,0.02322881266828043,-0.1882301819380824,-0.1966259788182372,1.0,0.23462149458822892,0.315745452540998,-0.17604741422342846,-0.1717214631652249,0.126128952875047,-0.09740374844011357,0.041093599105813845,0.1628447335069497,0.172461391963694,-0.10562838170549575,-0.12440430924517648,-0.15699346277955323
OE1_PB_neg_R2,0.032553518443942435,-0.005716402895143746,-0.14784273221277425,-0.11330742837391371,0.23462149458822892,1.0,0.3549624026357806,-0.04731614697175929,-0.17074370800426256,-0.06909959131562378,-0.119352850644159,-0.11554826049332723,0.0525628987702299,-0.019241536129743598,-0.12672765484358314,-0.09656384663746359,-0.07151823514031928
OE1_PB_neg_R3,0.04567899728538467,0.07692931007417568,-0.15822937637868828,-0.16026526674042474,0.315745452540998,0.3549624026357806,1.0,-0.11619977443660247,-0.15926354863101216,-0.05946350990983766,-0.14485336365687618,-0.02368778963426579,0.051407695171463326,0.009939599645806969,-0.12972615114344063,-0.06525073502805447,-0.10270108664827264
OE1_PB_pos_R2,-0.17413845976514405,-0.12835296334307822,0.2513193334013376,0.15392648916741988,-0.17604741422342846,-0.04731614697175929,-0.11619977443660247,1.0,0.004396419800673235,-0.23122280462256434,-0.20956933048165544,-0.26530405581236954,-0.24568368227203555,-0.22550862968750227,-0.17867501834926403,-0.14555027339235593,-0.1427739162325387
OE1_PB_pos_R3,-0.040668656108331466,0.01745444736059217,-0.014353969632117092,-0.011411316073604664,-0.1717214631652249,-0.17074370800426256,-0.15926354863101216,0.004396419800673235,1.0,-0.16383470295205363,-0.13434709111928242,-0.17379690598172434,-0.21393894290831642,-0.2161726815046889,-0.21376383783828087,-0.1928488523172472,-0.20692067565944613
OE2_NPB_neg_R1,-0.06431756068221096,-0.07524769982424757,-0.23698698422271425,-0.2096064418551919,0.126128952875047,-0.06909959131562378,-0.05946350990983766,-0.23122280462256434,-0.16383470295205363,1.0,0.10404184604641689,0.3482964751677636,0.2138195467130872,0.1806483395796038,0.08842767381184409,-0.04445674057666196,-0.07023211261027619
OE2_NPB_pos_R1,-0.0462616404771989,-0.1002900293475917,-0.19202495145632822,-0.14106028375826943,-0.09740374844011357,-0.119352850644159,-0.14485336365687618,-0.20956933048165544,-0.13434709111928242,0.10404184604641689,1.0,0.05955670777393872,-0.005022038839789657,-0.022397477696400075,0.10121188302178342,0.07876358468556718,0.010971450601347724
OE2_PB_neg_R1,0.020127204117682363,0.007116833897385744,-0.22431846036707734,-0.2162006382308304,0.041093599105813845,-0.11554826049332723,-0.02368778963426579,-0.26530405581236954,-0.17379690598172434,0.3482964751677636,0.05955670777393872,1.0,0.19759282519707227,0.21203188044525786,0.05979621313037455,-0.08272698012127568,-0.03507351604606804
OE2_PB_neg_R2,-0.014032954404805507,-0.0804125878139675,-0.2533297595801061,-0.22759676208819746,0.1628447335069497,0.0525628987702299,0.051407695171463326,-0.24568368227203555,-0.21393894290831642,0.2138195467130872,-0.005022038839789657,0.19759282519707227,1.0,0.49731980675657433,0.0647839897896928,0.03981628977889293,-0.07097513248943496
OE2_PB_neg_R3,-0.01903895136289838,-0.10786405092422029,-0.2450435155488442,-0.22649911542990644,0.172461391963694,-0.019241536129743598,0.009939599645806969,-0.22550862968750227,-0.2161726815046889,0.1806483395796038,-0.022397477696400075,0.21203188044525786,0.49731980675657433,1.0,0.08965879353486968,0.09443589852306442,-0.04821989517025969
OE2_PB_pos_R1,-0.1847380482214608,-0.2545376269841921,-0.20240444470203603,-0.1722135940265967,-0.10562838170549575,-0.12672765484358314,-0.12972615114344063,-0.17867501834926403,-0.21376383783828087,0.08842767381184409,0.10121188302178342,0.05979621313037455,0.0647839897896928,0.08965879353486968,1.0,0.36134629631359716,0.22810470982036718
OE2_PB_pos_R2,-0.18798066913666134,-0.24311041578727358,-0.14974381307701437,-0.11499200329293516,-0.12440430924517648,-0.09656384663746359,-0.06525073502805447,-0.14555027339235593,-0.1928488523172472,-0.04445674057666196,0.07876358468556718,-0.08272698012127568,0.03981628977889293,0.09443589852306442,0.36134629631359716,1.0,0.21973685657931658
OE2_PB_pos_R3,-0.18715622992758985,-0.16936414870565053,-0.14557747787703598,-0.08562575171035335,-0.15699346277955323,-0.07151823514031928,-0.10270108664827264,-0.1427739162325387,-0.20692067565944613,-0.07023211261027619,0.010971450601347724,-0.03507351604606804,-0.07097513248943496,-0.04821989517025969,0.22810470982036718,0.21973685657931658,1.0
