source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:MF,GO:0000166,nucleotide binding,2.2107828760590918e-06,True,"""Binding to a nucleotide, any compound consisting of a nucleoside that is esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the ribose or deoxyribose."" [GOC:mah, ISBN:0198547684]",2795,17,12,21077,0.7058823529411765,0.004293381037567,query_1,"['GO:1901265', 'GO:1901363']"
GO:MF,GO:0017076,purine nucleotide binding,2.2107828760590918e-06,True,"""Binding to a purine nucleotide, a compound consisting of a purine nucleoside esterified with (ortho)phosphate."" [GOC:ai]",2695,17,12,21077,0.7058823529411765,0.0044526901669758,query_1,['GO:0000166']
GO:MF,GO:1901265,nucleoside phosphate binding,2.2107828760590918e-06,True,"""Binding to nucleoside phosphate."" [GOC:TermGenie]",2805,17,12,21077,0.7058823529411765,0.0042780748663101,query_1,['GO:0005488']
GO:MF,GO:1901363,heterocyclic compound binding,2.5519149282853684e-06,True,"""Binding to heterocyclic compound."" [GOC:TermGenie]",2914,17,12,21077,0.7058823529411765,0.004118050789293,query_1,['GO:0036094']
GO:MF,GO:0032553,ribonucleotide binding,5.970022012409471e-06,True,"""Binding to a ribonucleotide, any compound consisting of a ribonucleoside that is esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the ribose moiety."" [GOC:mah]",2607,17,11,21077,0.6470588235294118,0.0042194092827004,query_1,"['GO:0000166', 'GO:0097367']"
GO:MF,GO:0035639,purine ribonucleoside triphosphate binding,5.970022012409471e-06,True,"""Binding to a purine ribonucleoside triphosphate, a compound consisting of a purine base linked to a ribose sugar esterified with triphosphate on the sugar."" [GOC:BHF, GOC:ebc, ISBN:0198506732]",2581,17,11,21077,0.6470588235294118,0.0042619139868268,query_1,"['GO:0043168', 'GO:1901265', 'GO:1901363']"
GO:MF,GO:0032555,purine ribonucleotide binding,5.970022012409471e-06,True,"""Binding to a purine ribonucleotide, any compound consisting of a purine ribonucleoside that is esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the ribose moiety."" [GOC:mah]",2592,17,11,21077,0.6470588235294118,0.0042438271604938,query_1,"['GO:0017076', 'GO:0032553']"
GO:CC,GO:0005856,cytoskeleton,5.985769725294531e-06,True,"""A cellular structure that forms the internal framework of eukaryotic and prokaryotic cells. The cytoskeleton includes intermediate filaments, microfilaments, microtubules, the microtrabecular lattice, and other structures characterized by a polymeric filamentous nature and long-range order within the cell. The various elements of the cytoskeleton not only serve in the maintenance of cellular shape but also have roles in other cellular functions, including cellular movement, cell division, endocytosis, and movement of organelles."" [GOC:mah, PMID:16959967, PMID:27419875]",587,11,7,12235,0.6363636363636364,0.0119250425894378,query_1,['GO:0043232']
GO:CC,GO:0099512,supramolecular fiber,5.999055373031357e-06,True,"""A polymer consisting of an indefinite number of protein or protein complex subunits that have polymerised to form a fiber-shaped structure."" [GOC:dos]",200,11,5,12235,0.4545454545454545,0.025,query_1,['GO:0099081']
GO:CC,GO:0099081,supramolecular polymer,5.999055373031357e-06,True,"""A polymeric supramolecular structure."" [GOC:dos]",200,11,5,12235,0.4545454545454545,0.025,query_1,['GO:0099080']
GO:MF,GO:0097367,carbohydrate derivative binding,7.065593979869944e-06,True,"""Binding to a carbohydrate derivative."" [GOC:pr]",2685,17,11,21077,0.6470588235294118,0.004096834264432,query_1,['GO:0005488']
GO:MF,GO:0043168,anion binding,1.1707760507760137e-05,True,"""Binding to an anion, a charged atom or group of atoms with a net negative charge."" [GOC:jl]",2854,17,11,21077,0.6470588235294118,0.0038542396636299,query_1,['GO:0043167']
GO:CC,GO:0099080,supramolecular complex,1.8449472707445204e-05,True,"""A cellular component that consists of an indeterminate number of proteins or macromolecular complexes, organized into a regular, higher-order structure such as a polymer, sheet, network or a fiber."" [GOC:dos]",266,11,5,12235,0.4545454545454545,0.018796992481203,query_1,['GO:0110165']
GO:MF,GO:0005200,structural constituent of cytoskeleton,2.660178376336136e-05,True,"""The action of a molecule that contributes to the structural integrity of a cytoskeletal structure."" [GOC:mah]",39,17,3,21077,0.1764705882352941,0.0769230769230769,query_1,['GO:0005198']
GO:CC,GO:0099513,polymeric cytoskeletal fiber,4.449793321033471e-05,True,"""A component of the cytoskeleton consisting of a homo or heteropolymeric fiber constructed from an indeterminate number of protein subunits."" [GOC:dos]",145,11,4,12235,0.3636363636363636,0.0275862068965517,query_1,"['GO:0005856', 'GO:0099512']"
GO:MF,GO:0140662,ATP-dependent protein folding chaperone,4.8510810724091926e-05,True,"""Binding to a protein or a protein-containing complex to assist the protein folding process, driven by ATP hydrolysis."" [PMID:27365453]",49,17,3,21077,0.1764705882352941,0.0612244897959183,query_1,"['GO:0044183', 'GO:0140657']"
GO:MF,GO:0044183,protein folding chaperone,5.326094469302736e-05,True,"""Binding to a protein or a protein-containing complex to assist the protein folding process."" [GOC:mtg_cambridge_2009]",52,17,3,21077,0.1764705882352941,0.0576923076923076,query_1,['GO:0003674']
GO:MF,GO:0036094,small molecule binding,0.0001437633691329,True,"""Binding to a small molecule, any low molecular weight, monomeric, non-encoded molecule."" [GOC:curators, GOC:pde, GOC:pm]",5644,17,13,21077,0.7647058823529411,0.0023033309709425,query_1,['GO:0005488']
GO:MF,GO:0044877,protein-containing complex binding,0.0002339646711991,True,"""Binding to a macromolecular complex."" [GOC:jl]",261,17,4,21077,0.2352941176470588,0.0153256704980842,query_1,['GO:0005488']
GO:CC,GO:0005874,microtubule,0.0003089070495001,True,"""Any of the long, generally straight, hollow tubes of internal diameter 12-15 nm and external diameter 24 nm found in a wide variety of eukaryotic cells; each consists (usually) of 13 protofilaments of polymeric tubulin, staggered in such a manner that the tubulin monomers are arranged in a helical pattern on the microtubular surface, and with the alpha/beta axes of the tubulin subunits parallel to the long axis of the tubule; exist in equilibrium with pool of tubulin monomers and can be rapidly assembled or disassembled in response to physiological stimuli; concerned with force generation, e.g. in the spindle."" [ISBN:0879693568]",85,11,3,12235,0.2727272727272727,0.0352941176470588,query_1,"['GO:0015630', 'GO:0099513']"
GO:CC,GO:0016459,myosin complex,0.0003089070495001,True,"""A protein complex, formed of one or more myosin heavy chains plus associated light chains and other proteins, that functions as a molecular motor; uses the energy of ATP hydrolysis to move actin filaments or to move vesicles or other cargo on fixed actin filaments; has magnesium-ATPase activity and binds actin. Myosin classes are distinguished based on sequence features of the motor, or head, domain, but also have distinct tail regions that are believed to bind specific cargoes."" [GOC:mah, Wikipedia:Myosin]",88,11,3,12235,0.2727272727272727,0.034090909090909,query_1,"['GO:0015629', 'GO:0032991']"
GO:MF,GO:0051015,actin filament binding,0.0003723283606143,True,"""Binding to an actin filament, also known as F-actin, a helical filamentous polymer of globular G-actin subunits."" [ISBN:0198506732]",107,17,3,21077,0.1764705882352941,0.02803738317757,query_1,"['GO:0003779', 'GO:0044877']"
GO:MF,GO:0032561,guanyl ribonucleotide binding,0.0005290419518152,True,"""Binding to a guanyl ribonucleotide, any compound consisting of guanosine esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the ribose moiety."" [GOC:mah]",658,17,5,21077,0.2941176470588235,0.0075987841945288,query_1,"['GO:0019001', 'GO:0032555']"
GO:MF,GO:0005525,GTP binding,0.0005290419518152,True,"""Binding to GTP, guanosine triphosphate."" [GOC:ai]",652,17,5,21077,0.2941176470588235,0.0076687116564417,query_1,"['GO:0032561', 'GO:0035639']"
GO:MF,GO:0019001,guanyl nucleotide binding,0.0005485343991822,True,"""Binding to a guanyl nucleotide, consisting of guanosine esterified with (ortho)phosphate."" [ISBN:0198506732]",679,17,5,21077,0.2941176470588235,0.0073637702503681,query_1,['GO:0017076']
GO:MF,GO:0043167,ion binding,0.0005485343991822,True,"""Binding to an ion, a charged atoms or groups of atoms."" [GOC:jl]",5475,17,12,21077,0.7058823529411765,0.0021917808219178,query_1,['GO:0036094']
GO:MF,GO:0003746,translation elongation factor activity,0.0006177781990377,True,"""Functions in chain elongation during polypeptide synthesis at the ribosome."" [ISBN:0198506732]",25,17,2,21077,0.1176470588235294,0.08,query_1,['GO:0180051']
