Gene,Cluster
CFL2,2
CH211-265P12.8,2
CH73-131E21.2,2
CK-M,12
DKEY-238C7.11,19
EEF2,19
ENO1,19
LOC560210,2
MGC163038,2
SET,2
SLC25A5,2
SNRPD3,2
Tubb5,5
VDAC1,2
actba,15
actbb,15
actc,13
actc1a,14
actc2,11
actn1,2
aifm1,2
ank3a,2
arf3,19
arf6b,2
atp1a1,2
atp1a1l2,2
atp1a2,2
atp1a3b,2
atp5a1,2
atp5b,1
atp[a]1A1,2
bat1,2
btf3,18
c1qbp,1
calm3b,2
cat,6
catD,2
cb279,2
cb28,2
cb293,2
cb863,12
chunp6902,2
chunp6933,2
chunp6934,2
ckb,19
ckba,19
ckii,1
crs,12
ctps1,2
echs1,2
eef1a,7
eef2l2,19
eif1ax,2
eif1b,2
eif3i,2
eno3,12
erlin1,2
fa22e07,2
fa93f03,10
fa95c01,12
fb19a06,18
fb22g06,13
fb37h04,2
fb54c08,2
fc94f01,12
fd02b12,12
fe38c12,1
fh,2
fi36d04,2
fj33a08,19
fj41e11,5
gapdh,12
gapdh-2,2
gfap,1
gnb3,2
h2ax,4
h3f3d,18
hdlbpb,2
hm:zeh0933,2
hm:zehl0637,2
hmgb3a,2
hnrnpa1a,12
hnrpa1,2
hsp90a.1,12
hsp90a2,7
hsp90ab1,19
hspa4l,2
hspa8,16
hspa8b,8
ilf2,2
impdh2,2
kpnb1,2
krt18,6
krt4,1
krt8,1
krtt1c19e,1
krtt1c6,1
mapre1b,2
matn4,2
myha,1
myhb,12
myhc3,5
myhc4,1
naca,2
ns:zf-e68,5
pabpc1,2
pabpc1a,2
pdha1a,1
pkm2a,2
pkmb,2
plasticin,2
ppp2r1b,2
ppp2r1ba,2
prdx1,2
psmb2,2
psmb7,2
psmc3,2
ptbp1a,2
pycr1b,2
rab1a,2
rab7,2
ran,2
rbbp4,2
rbbp7,2
rbm8a,2
rpl8,2
rpl9,2
rps15a,2
rps21,2
rps23,18
rps3a,5
rps7,2
rps8,12
sb:cb38,5
sb:cb640,2
sdha,2
seta,2
shmt2,2
si:ch211-113a14.27,18
si:ch211-199o1.2,2
si:dkey-261m9.17,2
snrpa,2
snrpg,2
timm13,2
tkta,2
tnpo1,2
tpi1a,2
tpi1b,2
tuba1c,13
tuba7l,3
tuba8l,17
tuba8l3a,10
tubb1,2
tubb2a,1
tubb2b,5
tubb2c,12
tubb6,2
u2af2a,2
ube2d4,2
unm_tf212,2
vatB1,2
vcp,2
wu:fa01a08,1
wu:fa20d10,2
wu:fa91c11,1
wu:fa93f04,12
wu:fb13d09,2
wu:fb30f01,2
wu:fb53f05,2
wu:fc11d03,2
wu:fc19f05,19
wu:fc58a11,2
wu:fc76a05,2
wu:fd14a01,1
wu:fd15e01,2
wu:fd15g03,2
wu:fd59b07,6
wu:fi03c01,12
wu:fi15a06,2
wu:fi32b03,19
wu:fj35g11,2
wu:fj37c05,2
wu:fj48b06,2
wu:fj51e01,2
wu:fj78b08,2
xpo1a,2
ybx1,2
ywhag1,2
zgc:103679,2
zgc:109885,20
zgc:111817,2
zgc:112098,11
zgc:114044,2
zgc:114046,4
zgc:136908,2
zgc:56659,2
zgc:56677,1
zgc:63559,2
zgc:63642,2
zgc:63663,19
zgc:63995,2
zgc:64133,2
zgc:64204,12
zgc:65936,2
zgc:65996,12
zgc:66168,1
zgc:73108,17
zgc:76934,9
zgc:77192,2
zgc:77702,2
zgc:85979,2
zgc:86748,2
zgc:92351,2
zgc:92726,2
