Protein	Protein ID	Entry Name	Gene	Length	Is Decoy	Is Contaminant	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Protein Qvalue	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
sp|A0A8M2BID5|DESPA_DANRE	A0A8M2BID5	DESPA_DANRE	dspa	2059	false	false	Danio rerio	Desmoplakin-A	2:Experimental evidence at transcript level	0.34	1.0000	0.9963	0.00000000000000	1	1	1	1	1	1	519252.03	519252.03	519252.03			
sp|O77727|K1C15_SHEEP	O77727	K1C15_SHEEP	KRT15	453	false	false	Ovis aries	Keratin, type I cytoskeletal 15	2:Experimental evidence at transcript level	8.83	1.0000	0.9990	0.00000000000000	5	1	1	5	1	1	4.0977676E7	5656115.5	5656115.5			
sp|P00760|TRY1_BOVIN	P00760	TRY1_BOVIN	PRSS1	246	false	false	Bos taurus	Serine protease 1	1:Experimental evidence at protein level	9.76	1.0000	0.9990	0.00000000000000	1	1	1	1	1	1	1.1101186E7	1.1101186E7	1.1101186E7	12C(57.0215),23C(57.0215),12C(57.0215),23C(57.0215)		
sp|P00761|TRYP_PIG	P00761	TRYP_PIG		231	false	false	Sus scrofa	Trypsin	1:Experimental evidence at protein level	71.86	1.0000	0.9990	0.00000000000000	13	13	13	22	22	22	3.64407706E9	3.64407706E9	3.64407706E9	11M(15.9949),13C(57.0215),11M(15.9949),13C(57.0215),12C(57.0215),12C(57.0215),12C(57.0215),23C(57.0215),13C(57.0215),13C(57.0215),13C(57.0215),27C(57.0215),3C(57.0215),17M(15.9949),17M(15.9949),17M(15.9949),2C(57.0215),2C(57.0215),2C(57.0215),9C(57.0215),2C(57.0215),9C(57.0215),37M(15.9949),9C(57.0215)		
sp|P02662|CASA1_BOVIN	P02662	CASA1_BOVIN	CSN1S1	214	false	false	Bos taurus	Alpha-S1-casein	1:Experimental evidence at protein level	4.67	1.0000	0.9990	0.00000000000000	1	1	1	1	1	1	0	0	0			
sp|P02768|ALBU_HUMAN	P02768	ALBU_HUMAN	ALB	609	false	false	Homo sapiens	Albumin	1:Experimental evidence at protein level	2.46	1.0000	0.9989	0.00000000000000	1	0	0	1	0	0	731340.9	0	0			
sp|P02769|ALBU_BOVIN	P02769	ALBU_BOVIN	ALB	607	false	false	Bos taurus	Albumin	1:Experimental evidence at protein level	2.47	1.0000	0.9990	0.00000000000000	1	0	1	1	0	1	731340.9	0	731340.9			
sp|P04264|K2C1_HUMAN	P04264	K2C1_HUMAN	KRT1	644	false	false	Homo sapiens	Keratin, type II cytoskeletal 1	1:Experimental evidence at protein level	62.11	1.0000	0.9990	0.00000000000000	42	38	42	58	53	58	2.07455584E8	2.07455584E8	2.07455584E8	1M(15.9949),5C(57.0215),4C(57.0215),4C(57.0215),4C(57.0215),5C(57.0215),6M(15.9949),7M(15.9949),9M(15.9949),9M(15.9949)		
sp|P07339|CATD_HUMAN	P07339	CATD_HUMAN	CTSD	412	false	false	Homo sapiens	Cathepsin D	1:Experimental evidence at protein level	1.94	1.0000	0.9990	0.00000000000000	1	1	1	1	1	1	394646.53	394646.53	394646.53			
sp|P13645|K1C10_HUMAN	P13645	K1C10_HUMAN	KRT10	584	false	false	Homo sapiens	Keratin, type I cytoskeletal 10	1:Experimental evidence at protein level	53.08	1.0000	0.9990	0.00000000000000	31	25	31	37	31	37	6.7070648E7	6.497332E7	6.7070648E7	11M(15.9949),26M(15.9949),3M(15.9949),3M(15.9949),5C(57.0215),5C(57.0215),5M(15.9949),7C(57.0215)		
sp|P35527|K1C9_HUMAN	P35527	K1C9_HUMAN	KRT9	623	false	false	Homo sapiens	Keratin, type I cytoskeletal 9	1:Experimental evidence at protein level	56.02	1.0000	0.9990	0.00000000000000	31	30	30	39	38	38	1.50995216E8	1.50995216E8	1.50995216E8	1M(15.9949),3M(15.9949),3M(15.9949),5C(57.0215),5C(57.0215),5M(15.9949),5M(15.9949),5M(15.9949),5M(15.9949),6M(15.9949),8M(15.9949)		
sp|P35908|K22E_HUMAN	P35908	K22E_HUMAN	KRT2	639	false	false	Homo sapiens	Keratin, type II cytoskeletal 2 epidermal	1:Experimental evidence at protein level	75.27	1.0000	0.9990	0.00000000000000	39	33	36	45	38	41	7.8019928E7	4.0264224E7	4.0264224E7	10M(15.9949),1M(15.9949),23M(15.9949),23M(15.9949),7C(57.0215),7C(57.0215),7M(15.9949),7M(15.9949),8C(57.0215),8C(57.0215)		
sp|P61626|LYSC_HUMAN	P61626	LYSC_HUMAN	LYZ	148	false	false	Homo sapiens	Lysozyme C	1:Experimental evidence at protein level	16.22	1.0000	0.9990	0.00000000000000	2	2	2	2	2	2	3015526.2	3015526.2	3015526.2	8M(15.9949),9C(57.0215)		
sp|Q06830|PRDX1_HUMAN	Q06830	PRDX1_HUMAN	PRDX1	199	false	false	Homo sapiens	Peroxiredoxin-1	1:Experimental evidence at protein level	5.53	1.0000	0.9984	0.00000000000000	1	1	1	1	1	1	696352.0	696352.0	696352.0			
sp|Q32LQ4|BHMT1_DANRE	Q32LQ4	BHMT1_DANRE	bhmt	400	false	false	Danio rerio	Betaine--homocysteine S-methyltransferase 1	2:Experimental evidence at transcript level	5.00	1.0000	0.9990	0.00000000000000	1	1	1	1	1	1	440232.28	440232.28	440232.28			
sp|Q58EE9|GFAP_DANRE	Q58EE9	GFAP_DANRE	gfap	444	false	false	Danio rerio	Glial fibrillary acidic protein	1:Experimental evidence at protein level	4.05	1.0000	0.9990	0.00000000000000	2	0	0	2	0	0	2.8338116E7	0	0			
sp|Q5MJ86|G3P2_DANRE	Q5MJ86	G3P2_DANRE	gapdh-2	335	false	false	Danio rerio	Glyceraldehyde-3-phosphate dehydrogenase 2	2:Experimental evidence at transcript level	2.39	1.0000	0.9990	0.00000000000000	1	0	1	1	0	1	650838.9	0	650838.9			
sp|Q5XJ10|G3P_DANRE	Q5XJ10	G3P_DANRE	gapdh	333	false	false	Danio rerio	Glyceraldehyde-3-phosphate dehydrogenase	2:Experimental evidence at transcript level	6.61	1.0000	0.9990	0.00000000000000	2	1	1	2	1	1	1037507.25	386668.38	386668.38			
sp|Q6NSN2|AOF_DANRE	Q6NSN2	AOF_DANRE	mao	522	false	false	Danio rerio	Amine oxidase [flavin-containing]	1:Experimental evidence at protein level	4.02	1.0000	0.9990	0.00000000000000	1	1	1	1	1	1	0	0	0	N-term(42.0106)		
sp|Q6NWF6|K2C8_DANRE	Q6NWF6	K2C8_DANRE	krt8	520	false	false	Danio rerio	Keratin, type II cytoskeletal 8	1:Experimental evidence at protein level	7.12	1.0000	0.9990	0.00000000000000	5	0	1	5	0	1	3.3651676E7	0	2375797.0			
sp|Q6P026|BAF_DANRE	Q6P026	BAF_DANRE	banf1	90	false	false	Danio rerio	Barrier-to-autointegration factor	1:Experimental evidence at protein level	13.33	1.0000	0.9990	0.00000000000000	1	1	1	1	1	1	534017.9	534017.9	534017.9			
sp|Q6PBY1|RS3A_DANRE	Q6PBY1	RS3A_DANRE	rps3a	267	false	false	Danio rerio	40S ribosomal protein S3a	1:Experimental evidence at protein level	6.37	1.0000	0.9990	0.00000000000000	1	1	1	1	1	1	1031466.75	1031466.75	1031466.75			
sp|Q6PI20|H33_DANRE	Q6PI20	H33_DANRE	h3f3d	136	false	false	Danio rerio	Histone H3.3	2:Experimental evidence at transcript level	8.09	1.0000	0.9990	0.00000000000000	1	0	0	2	0	0	6631041.5	0	0			
sp|Q6Q420|RS15A_DANRE	Q6Q420	RS15A_DANRE	rps15a	130	false	false	Danio rerio	40S ribosomal protein S15a	1:Experimental evidence at protein level	15.38	1.0000	0.9990	0.00000000000000	1	1	1	1	1	1	943303.56	943303.56	943303.56			
sp|Q71PD7|H2AV_DANRE	Q71PD7	H2AV_DANRE	h2az2a	128	false	false	Danio rerio	Histone H2A.V	2:Experimental evidence at transcript level	20.31	1.0000	0.9990	0.00000000000000	3	0	2	3	0	2	5.9069804E7	0	1.3051906E7			tr|Q0Z946|Q0Z946_DANRE
sp|Q7ZTS4|K1C18_DANRE	Q7ZTS4	K1C18_DANRE	krt18	431	false	false	Danio rerio	Keratin, type I cytoskeletal 18	1:Experimental evidence at protein level	1.62	1.0000	0.9990	0.00000000000000	1	0	0	1	0	0	1.6418993E7	0	0			
sp|Q7ZUY3|H2AX_DANRE	Q7ZUY3	H2AX_DANRE	h2ax	142	false	false	Danio rerio	Histone H2AX	2:Experimental evidence at transcript level	32.39	1.0000	0.9990	0.00000000000000	4	0	4	6	0	6	6.0323216E7	0	6.0323216E7			tr|A0A8M2BA83|A0A8M2BA83_DANRE, tr|A0A8M3ATV1|A0A8M3ATV1_DANRE, tr|A0A8N7TAW0|A0A8N7TAW0_DANRE, tr|A4FVM2|A4FVM2_DANRE, tr|E7EXD7|E7EXD7_DANRE, tr|E7F5W3|E7F5W3_DANRE, tr|F1QTL1|F1QTL1_DANRE, tr|Q4FZZ7|Q4FZZ7_DANRE, tr|Q561S9|Q561S9_DANRE, tr|Q5XJK2|Q5XJK2_DANRE
sp|Q7ZVF9|ACTB2_DANRE	Q7ZVF9	ACTB2_DANRE	actbb	375	false	false	Danio rerio	Actin, cytoplasmic 2	1:Experimental evidence at protein level	7.47	1.0000	0.9990	0.00000000000000	3	0	3	3	0	3	1597506.5	0	1597506.5			
sp|Q7ZVI7|ACTB1_DANRE	Q7ZVI7	ACTB1_DANRE	actba	375	false	false	Danio rerio	Actin, cytoplasmic 1	1:Experimental evidence at protein level	7.47	1.0000	0.9990	0.00000000000000	3	0	0	3	0	0	1597506.5	0	0			
sp|Q9NSB2|KRT84_HUMAN	Q9NSB2	KRT84_HUMAN	KRT84	600	false	false	Homo sapiens	Keratin, type II cuticular Hb4	2:Experimental evidence at transcript level	3.50	1.0000	0.9982	0.00000000000000	4	0	0	4	0	0	4264525.5	0	0			
