Protein	Protein ID	Entry Name	Gene	Length	Is Decoy	Is Contaminant	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Protein Qvalue	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
sp|A0A0G2KTI4|S12A2_DANRE	A0A0G2KTI4	S12A2_DANRE	slc12a2	1136	false	false	Danio rerio	Solute carrier family 12 member 2	1:Experimental evidence at protein level	0.88	1.0000	0.9989	0.00000000000000	1	1	1	1	1	1	0	0	0			
sp|A0A0R4IEW8|ELAV4_DANRE	A0A0R4IEW8	ELAV4_DANRE	elavl4	411	false	false	Danio rerio	ELAV-like protein 4	1:Experimental evidence at protein level	1.70	1.0000	0.9990	0.00000000000000	1	0	0	1	0	0	236959.56	0	0			
sp|A0A8M2BID5|DESPA_DANRE	A0A8M2BID5	DESPA_DANRE	dspa	2059	false	false	Danio rerio	Desmoplakin-A	2:Experimental evidence at transcript level	0.34	1.0000	0.9963	0.00000000000000	1	1	1	1	1	1	9322248.0	9322248.0	9322248.0			
sp|A0MTA1|APEX1_DANRE	A0MTA1	APEX1_DANRE	apex1	310	false	false	Danio rerio	DNA-(apurinic or apyrimidinic site) endonuclease	1:Experimental evidence at protein level	2.26	1.0000	0.9990	0.00000000000000	1	1	1	1	1	1	1265033.2	1265033.2	1265033.2			
sp|A1L1F4|PDS5A_DANRE	A1L1F4	PDS5A_DANRE	pds5a	1320	false	false	Danio rerio	Sister chromatid cohesion protein PDS5 homolog A	2:Experimental evidence at transcript level	0.91	1.0000	0.9990	0.00000000000000	1	0	0	1	0	0	1061941.8	0	0			
sp|A3QK16|ERLN2_DANRE	A3QK16	ERLN2_DANRE	erlin2	331	false	false	Danio rerio	Erlin-2	2:Experimental evidence at transcript level	10.27	1.0000	0.9988	0.00000000000000	4	3	3	4	3	3	6090465.5	1521524.0	1521524.0			
sp|A5PLC8|PTMAB_DANRE	A5PLC8	PTMAB_DANRE	ptmab	106	false	false	Danio rerio	Prothymosin alpha-B	1:Experimental evidence at protein level	13.21	1.0000	0.9990	0.00000000000000	1	1	1	1	1	1	0	0	0	N-term(42.0106)		
sp|A9JRE2|MTNA_DANRE	A9JRE2	MTNA_DANRE	mri1	353	false	false	Danio rerio	Methylthioribose-1-phosphate isomerase	2:Experimental evidence at transcript level	3.97	1.0000	0.9988	0.00000000000000	1	1	1	1	1	1	0	0	0			
sp|B0S6J3|SRGP2_DANRE	B0S6J3	SRGP2_DANRE	srgap2	1100	false	false	Danio rerio	SLIT-ROBO Rho GTPase-activating protein 2	2:Experimental evidence at transcript level	1.09	1.0000	0.9990	0.00000000000000	1	0	1	1	0	1	0	0	0			
sp|B8A5I7|SSBP_DANRE	B8A5I7	SSBP_DANRE	ssbp1	146	false	false	Danio rerio	Single-stranded DNA-binding protein, mitochondrial	1:Experimental evidence at protein level	10.27	1.0000	0.9990	0.00000000000000	2	2	2	1	1	1	1007453.9	1007453.9	1007453.9			
sp|F1QGH7|CTNB1_DANRE	F1QGH7	CTNB1_DANRE	ctnnb1	780	false	false	Danio rerio	Catenin beta-1	1:Experimental evidence at protein level	3.46	1.0000	0.9990	0.00000000000000	2	0	2	2	0	2	0	0	0	1M(15.9949),8C(57.0215),5C(57.0215)		
