Protein	Protein ID	Entry Name	Gene	Length	Is Decoy	Is Contaminant	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Protein Qvalue	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
sp|F1RAX4|STRA6_DANRE	F1RAX4	STRA6_DANRE	stra6	670	false	false	Danio rerio	Receptor for retinol uptake stra6	1:Experimental evidence at protein level	2.84	1.0000	0.9990	0.00000000000000	1	1	1	1	1	1	708620.9	708620.9	708620.9			
sp|O77727|K1C15_SHEEP	O77727	K1C15_SHEEP	KRT15	453	false	false	Ovis aries	Keratin, type I cytoskeletal 15	2:Experimental evidence at transcript level	8.61	1.0000	0.9990	0.00000000000000	5	1	1	4	1	1	2.650044E7	3537017.0	3537017.0			
sp|P00760|TRY1_BOVIN	P00760	TRY1_BOVIN	PRSS1	246	false	false	Bos taurus	Serine protease 1	1:Experimental evidence at protein level	9.76	1.0000	0.9990	0.00000000000000	1	1	1	2	2	2	1.5837419E7	1.5837419E7	1.5837419E7	12C(57.0215),23C(57.0215),12C(57.0215),23C(57.0215)		
sp|P00761|TRYP_PIG	P00761	TRYP_PIG		231	false	false	Sus scrofa	Trypsin	1:Experimental evidence at protein level	58.87	1.0000	0.9990	0.00000000000000	13	13	13	22	22	22	4.3105224E9	4.3105224E9	4.3105224E9	12C(57.0215),12C(57.0215),12C(57.0215),23C(57.0215),13C(57.0215),13C(57.0215),13C(57.0215),27C(57.0215),3C(57.0215),17M(15.9949),17M(15.9949),17M(15.9949),17M(15.9949),2C(57.0215),2C(57.0215),2C(57.0215),9C(57.0215),2C(57.0215),9C(57.0215),37M(15.9949),9C(57.0215)		
sp|P02662|CASA1_BOVIN	P02662	CASA1_BOVIN	CSN1S1	214	false	false	Bos taurus	Alpha-S1-casein	1:Experimental evidence at protein level	19.16	1.0000	0.9990	0.00000000000000	3	3	3	3	3	3	1617006.8	1617006.8	1617006.8	3M(15.9949)		
sp|P02666|CASB_BOVIN	P02666	CASB_BOVIN	CSN2	224	false	false	Bos taurus	Beta-casein	1:Experimental evidence at protein level	3.12	1.0000	0.9990	0.00000000000000	1	1	1	1	1	1	706489.0	706489.0	706489.0			
sp|P02768|ALBU_HUMAN	P02768	ALBU_HUMAN	ALB	609	false	false	Homo sapiens	Albumin	1:Experimental evidence at protein level	2.46	1.0000	0.9989	0.00000000000000	2	1	1	1	0	0	1646696.4	243038.52	243038.52			
sp|P02769|ALBU_BOVIN	P02769	ALBU_BOVIN	ALB	607	false	false	Bos taurus	Albumin	1:Experimental evidence at protein level	2.47	1.0000	0.9990	0.00000000000000	2	1	2	1	0	1	1870481.0	466823.1	1870481.0			
sp|P02788|TRFL_HUMAN	P02788	TRFL_HUMAN	LTF	710	false	false	Homo sapiens	Lactotransferrin	1:Experimental evidence at protein level	1.55	1.0000	0.9990	0.00000000000000	1	1	1	1	1	1	197187.6	197187.6	197187.6			
sp|P04264|K2C1_HUMAN	P04264	K2C1_HUMAN	KRT1	644	false	false	Homo sapiens	Keratin, type II cytoskeletal 1	1:Experimental evidence at protein level	57.76	1.0000	0.9990	0.00000000000000	34	30	34	46	42	46	1.83248496E8	1.83248496E8	1.83248496E8	1M(15.9949),5C(57.0215),1M(15.9949),5C(57.0215),4C(57.0215),4C(57.0215),5C(57.0215),5M(15.9949),7M(15.9949),9M(15.9949),9M(15.9949)		
sp|P07339|CATD_HUMAN	P07339	CATD_HUMAN	CTSD	412	false	false	Homo sapiens	Cathepsin D	1:Experimental evidence at protein level	1.94	1.0000	0.9990	0.00000000000000	1	1	1	1	1	1	232785.72	232785.72	232785.72			
sp|P13104|TPM1_DANRE	P13104	TPM1_DANRE	tpma	284	false	false	Danio rerio	Tropomyosin alpha-1 chain	2:Experimental evidence at transcript level	4.93	1.0000	0.9990	0.00000000000000	2	0	2	2	0	2	2262681.2	0	2262681.2			
sp|P13645|K1C10_HUMAN	P13645	K1C10_HUMAN	KRT10	584	false	false	Homo sapiens	Keratin, type I cytoskeletal 10	1:Experimental evidence at protein level	50.68	1.0000	0.9990	0.00000000000000	28	22	28	32	27	32	4.4206008E7	4.283828E7	4.4206008E7	11M(15.9949),26M(15.9949),3M(15.9949),3M(15.9949),5C(57.0215),5C(57.0215),5M(15.9949),7C(57.0215)		
sp|P35527|K1C9_HUMAN	P35527	K1C9_HUMAN	KRT9	623	false	false	Homo sapiens	Keratin, type I cytoskeletal 9	1:Experimental evidence at protein level	53.29	1.0000	0.9990	0.00000000000000	30	29	29	37	36	36	1.04122624E8	1.04122624E8	1.04122624E8	1M(15.9949),3M(15.9949),3M(15.9949),5M(15.9949),5M(15.9949),5M(15.9949),5M(15.9949),6M(15.9949),8M(15.9949)		
sp|P35908|K22E_HUMAN	P35908	K22E_HUMAN	KRT2	639	false	false	Homo sapiens	Keratin, type II cytoskeletal 2 epidermal	1:Experimental evidence at protein level	49.30	1.0000	0.9990	0.00000000000000	28	23	25	26	21	23	5.621788E7	1.9802298E7	1.9802298E7	1M(15.9949),23M(15.9949),23M(15.9949),7C(57.0215),7C(57.0215),7M(15.9949)		
sp|P61626|LYSC_HUMAN	P61626	LYSC_HUMAN	LYZ	148	false	false	Homo sapiens	Lysozyme C	1:Experimental evidence at protein level	8.11	1.0000	0.9990	0.00000000000000	1	1	1	1	1	1	2761658.5	2761658.5	2761658.5			
sp|P79735|RAN_DANRE	P79735	RAN_DANRE	ran	215	false	false	Danio rerio	GTP-binding nuclear protein Ran	2:Experimental evidence at transcript level	5.12	1.0000	0.9990	0.00000000000000	1	1	1	1	1	1	1088902.5	1088902.5	1088902.5			
sp|Q06830|PRDX1_HUMAN	Q06830	PRDX1_HUMAN	PRDX1	199	false	false	Homo sapiens	Peroxiredoxin-1	1:Experimental evidence at protein level	5.53	1.0000	0.9984	0.00000000000000	2	1	1	1	1	1	705323.9	365093.84	365093.84			
sp|Q58EE9|GFAP_DANRE	Q58EE9	GFAP_DANRE	gfap	444	false	false	Danio rerio	Glial fibrillary acidic protein	1:Experimental evidence at protein level	2.48	1.0000	0.9990	0.00000000000000	1	0	0	1	0	0	2580076.8	0	0			
sp|Q5MJ86|G3P2_DANRE	Q5MJ86	G3P2_DANRE	gapdh-2	335	false	false	Danio rerio	Glyceraldehyde-3-phosphate dehydrogenase 2	2:Experimental evidence at transcript level	10.75	1.0000	0.9990	0.00000000000000	3	2	3	3	2	3	1442290.5	1012680.44	1442290.5	13C(57.0215)		
sp|Q5PRD0|143BA_DANRE	Q5PRD0	143BA_DANRE	ywhaba	244	false	false	Danio rerio	14-3-3 protein beta/alpha-A	2:Experimental evidence at transcript level	9.02	1.0000	0.9990	0.00000000000000	2	0	2	2	0	2	1044575.0	0	1044575.0			
sp|Q5TZ66|SN25A_DANRE	Q5TZ66	SN25A_DANRE	snap25a	204	false	false	Danio rerio	Synaptosomal-associated protein 25-A	2:Experimental evidence at transcript level	14.22	1.0000	0.9990	0.00000000000000	2	0	0	2	0	0	2041291.8	0	0			
sp|Q5XJ10|G3P_DANRE	Q5XJ10	G3P_DANRE	gapdh	333	false	false	Danio rerio	Glyceraldehyde-3-phosphate dehydrogenase	2:Experimental evidence at transcript level	6.61	1.0000	0.9990	0.00000000000000	2	1	1	2	1	1	429610.0	0	0			
sp|Q6NWF6|K2C8_DANRE	Q6NWF6	K2C8_DANRE	krt8	520	false	false	Danio rerio	Keratin, type II cytoskeletal 8	1:Experimental evidence at protein level	5.77	1.0000	0.9990	0.00000000000000	4	0	1	4	0	1	5983958.0	0	1059003.9			
