Protein	Protein ID	Entry Name	Gene	Length	Is Decoy	Is Contaminant	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Protein Qvalue	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
sp|B0UXP9|IMDH2_DANRE	B0UXP9	IMDH2_DANRE	impdh2	514	false	false	Danio rerio	Inosine-5'-monophosphate dehydrogenase 2	3:Protein inferred from homology	5.25	1.0000	0.9940	0.00000000000000	1	1	1	1	1	1	1698626.8	1698626.8	1698626.8	17C(57.0215),9C(57.0215)		
sp|B5DE31|YBOX1_DANRE	B5DE31	YBOX1_DANRE	ybx1	310	false	false	Danio rerio	Y-box-binding protein 1	1:Experimental evidence at protein level	5.48	1.0000	0.9987	0.00000000000000	1	1	1	1	1	1	7740581.0	7740581.0	7740581.0			
sp|F1QB54|PABPA_DANRE	F1QB54	PABPA_DANRE	pabpc1a	634	false	false	Danio rerio	Polyadenylate-binding protein 1A	1:Experimental evidence at protein level	2.68	1.0000	0.9989	0.00000000000000	1	0	1	1	0	1	365165.2	0	365165.2			
sp|O57521|HS90B_DANRE	O57521	HS90B_DANRE	hsp90ab1	725	false	false	Danio rerio	Heat shock protein HSP 90-beta	1:Experimental evidence at protein level	7.17	1.0000	0.9990	0.00000000000000	3	1	3	4	1	4	1.1459549E7	0	1.1459549E7	6C(57.0215),7C(57.0215)		
sp|O77727|K1C15_SHEEP	O77727	K1C15_SHEEP	KRT15	453	false	false	Ovis aries	Keratin, type I cytoskeletal 15	2:Experimental evidence at transcript level	7.28	1.0000	0.9989	0.00000000000000	6	1	1	8	1	1	9.8509592E7	5402705.0	5402705.0			
sp|P00760|TRY1_BOVIN	P00760	TRY1_BOVIN	PRSS1	246	false	false	Bos taurus	Serine protease 1	1:Experimental evidence at protein level	13.82	1.0000	0.9988	0.00000000000000	2	2	2	5	5	5	957678.3	957678.3	957678.3	10C(57.0215),17C(57.0215),18C(57.0215),25C(57.0215)		
sp|P00761|TRYP_PIG	P00761	TRYP_PIG		231	false	false	Sus scrofa	Trypsin	1:Experimental evidence at protein level	34.63	1.0000	0.9990	0.00000000000000	8	8	8	78	78	78	7.5023416E9	7.5023416E9	7.5023416E9	17M(15.9949),17M(15.9949),17M(15.9949),17M(15.9949),2C(57.0215),9C(57.0215),2C(57.0215),9C(57.0215),37M(15.9949)		
sp|P00883|ALDOA_RABIT	P00883	ALDOA_RABIT	ALDOA	364	false	false	Oryctolagus cuniculus	Fructose-bisphosphate aldolase A	1:Experimental evidence at protein level	14.29	1.0000	0.9988	0.00000000000000	3	3	3	5	5	5	1.6719627E7	1.6719627E7	1.6719627E7	12M(15.9949),4C(57.0215)		
sp|P02662|CASA1_BOVIN	P02662	CASA1_BOVIN	CSN1S1	214	false	false	Bos taurus	Alpha-S1-casein	1:Experimental evidence at protein level	5.61	1.0000	0.9988	0.00000000000000	1	1	1	1	1	1	279997.44	279997.44	279997.44			
sp|P02768|ALBU_HUMAN	P02768	ALBU_HUMAN	ALB	609	false	false	Homo sapiens	Albumin	1:Experimental evidence at protein level	2.46	1.0000	0.9989	0.00000000000000	2	0	2	1	0	1	2495902.2	0	2495902.2			
