Protein	Protein ID	Entry Name	Gene	Length	Is Decoy	Is Contaminant	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Protein Qvalue	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
sp|A2BIL7|BAZ1B_DANRE	A2BIL7	BAZ1B_DANRE	baz1b	1536	false	false	Danio rerio	Tyrosine-protein kinase BAZ1B	1:Experimental evidence at protein level	0.98	1.0000	0.9990	0.00000000000000	1	1	1	1	1	1	452937.7	452937.7	452937.7			
sp|A3QK16|ERLN2_DANRE	A3QK16	ERLN2_DANRE	erlin2	331	false	false	Danio rerio	Erlin-2	2:Experimental evidence at transcript level	3.02	1.0000	0.9988	0.00000000000000	1	0	0	1	0	0	2793896.0	0	0			
sp|B5DE31|YBOX1_DANRE	B5DE31	YBOX1_DANRE	ybx1	310	false	false	Danio rerio	Y-box-binding protein 1	1:Experimental evidence at protein level	5.48	1.0000	0.9990	0.00000000000000	1	1	1	1	1	1	689647.9	689647.9	689647.9			
sp|F1QGH7|CTNB1_DANRE	F1QGH7	CTNB1_DANRE	ctnnb1	780	false	false	Danio rerio	Catenin beta-1	1:Experimental evidence at protein level	1.28	1.0000	0.9990	0.00000000000000	1	0	1	1	0	1	0	0	0	5C(57.0215)		
sp|F1QGH9|PS11B_DANRE	F1QGH9	PS11B_DANRE	psmd11b	422	false	false	Danio rerio	26S proteasome non-ATPase regulatory subunit 11B	2:Experimental evidence at transcript level	2.37	1.0000	0.9983	0.00000000000000	1	1	1	1	1	1	1253660.4	1253660.4	1253660.4	N-term(42.0106)		
sp|O13166|TLE3A_DANRE	O13166	TLE3A_DANRE	tle3a	761	false	false	Danio rerio	Transducin-like enhancer protein 3-A	1:Experimental evidence at protein level	1.45	1.0000	0.9990	0.00000000000000	1	0	1	1	0	1	544885.0	0	544885.0			
sp|O42248|GBLP_DANRE	O42248	GBLP_DANRE	gnb2l1	317	false	false	Danio rerio	Guanine nucleotide-binding protein subunit beta-2-like 1	1:Experimental evidence at protein level	3.79	1.0000	0.9990	0.00000000000000	1	1	1	1	1	1	1420096.1	1420096.1	1420096.1			
sp|O57521|HS90B_DANRE	O57521	HS90B_DANRE	hsp90ab1	725	false	false	Danio rerio	Heat shock protein HSP 90-beta	1:Experimental evidence at protein level	8.28	1.0000	0.9990	0.00000000000000	4	2	4	4	2	4	1.5290196E7	2720665.2	1.5290196E7			
sp|O77727|K1C15_SHEEP	O77727	K1C15_SHEEP	KRT15	453	false	false	Ovis aries	Keratin, type I cytoskeletal 15	2:Experimental evidence at transcript level	14.57	1.0000	0.9990	0.00000000000000	8	3	3	9	3	3	5.9120486E8	1.1988028E7	1.1988028E7			
sp|O93409|MLRSA_DANRE	O93409	MLRSA_DANRE	mylpfa	169	false	false	Danio rerio	Myosin regulatory light chain 2, skeletal muscle isoform A	1:Experimental evidence at protein level	18.93	1.0000	0.9990	0.00000000000000	2	0	2	2	0	2	831684.8	0	831684.8	12C(57.0215)		
sp|P00760|TRY1_BOVIN	P00760	TRY1_BOVIN	PRSS1	246	false	false	Bos taurus	Serine protease 1	1:Experimental evidence at protein level	17.89	1.0000	0.9990	0.00000000000000	2	2	2	2	2	2	7291340.5	7291340.5	7291340.5	12C(57.0215),23C(57.0215)		
sp|P00761|TRYP_PIG	P00761	TRYP_PIG		231	false	false	Sus scrofa	Trypsin	1:Experimental evidence at protein level	46.32	1.0000	0.9990	0.00000000000000	8	8	8	14	14	14	1.12308301E9	1.12308301E9	1.12308301E9	12C(57.0215),12C(57.0215),17M(15.9949),17M(15.9949),2C(57.0215),2C(57.0215),2C(57.0215),9C(57.0215),2C(57.0215),9C(57.0215),9C(57.0215)		
sp|P02662|CASA1_BOVIN	P02662	CASA1_BOVIN	CSN1S1	214	false	false	Bos taurus	Alpha-S1-casein	1:Experimental evidence at protein level	10.28	1.0000	0.9990	0.00000000000000	2	2	2	2	2	2	1519727.5	1519727.5	1519727.5			
sp|P02768|ALBU_HUMAN	P02768	ALBU_HUMAN	ALB	609	false	false	Homo sapiens	Albumin	1:Experimental evidence at protein level	34.98	1.0000	0.9989	0.00000000000000	21	13	13	26	14	14	2.62898606E10	8.4786472E7	8.4786472E7	10C(57.0215),11C(57.0215),11C(57.0215),12C(57.0215),1C(57.0215),2C(57.0215),12M(15.9949),30C(57.0215),3C(57.0215),12M(15.9949),30C(57.0215),3C(57.0215),13C(57.0215),5C(57.0215),6C(57.0215),13C(57.0215),5C(57.0215),6C(57.0215),14C(57.0215),14C(57.0215),22C(57.0215),30C(57.0215),3C(57.0215),3C(57.0215)		
