Protein	Protein ID	Entry Name	Gene	Length	Is Decoy	Is Contaminant	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Protein Qvalue	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
sp|P00761|TRYP_PIG	P00761	TRYP_PIG		231	false	false	Sus scrofa	Trypsin	1:Experimental evidence at protein level	23.38	1.0000	0.9990	0.00000000000000	6	6	6	60	60	60	9.6717414E9	9.6717414E9	9.6717414E9	17M(15.9949),17M(15.9949),17M(15.9949),17M(15.9949),37M(15.9949)		
sp|P04040|CATA_HUMAN	P04040	CATA_HUMAN	CAT	527	false	false	Homo sapiens	Catalase	1:Experimental evidence at protein level	5.31	1.0000	0.9988	0.00000000000000	1	1	1	1	1	1	1768768.1	1768768.1	1768768.1			
sp|P04264|K2C1_HUMAN	P04264	K2C1_HUMAN	KRT1	644	false	false	Homo sapiens	Keratin, type II cytoskeletal 1	1:Experimental evidence at protein level	17.86	1.0000	0.9990	0.00000000000000	8	7	8	7	7	7	3.62475E7	3.62475E7	3.62475E7			
sp|P09211|GSTP1_HUMAN	P09211	GSTP1_HUMAN	GSTP1	210	false	false	Homo sapiens	Glutathione S-transferase P	1:Experimental evidence at protein level	12.38	1.0000	0.9987	0.00000000000000	1	1	1	1	1	1	432669.7	432669.7	432669.7			
sp|P13645|K1C10_HUMAN	P13645	K1C10_HUMAN	KRT10	584	false	false	Homo sapiens	Keratin, type I cytoskeletal 10	1:Experimental evidence at protein level	18.32	1.0000	0.9990	0.00000000000000	6	6	6	11	11	11	6.2087228E7	6.2087228E7	6.2087228E7	11M(15.9949),11M(15.9949),26M(15.9949)		
sp|P35527|K1C9_HUMAN	P35527	K1C9_HUMAN	KRT9	623	false	false	Homo sapiens	Keratin, type I cytoskeletal 9	1:Experimental evidence at protein level	14.45	1.0000	0.9990	0.00000000000000	5	5	5	6	6	6	3.6847912E7	3.6847912E7	3.6847912E7			
sp|P35908|K22E_HUMAN	P35908	K22E_HUMAN	KRT2	639	false	false	Homo sapiens	Keratin, type II cytoskeletal 2 epidermal	1:Experimental evidence at protein level	8.92	1.0000	0.9990	0.00000000000000	2	2	2	3	3	3	2.03194E7	2.03194E7	2.03194E7	23M(15.9949),23M(15.9949)		
sp|Q5BJA5|H2B1_DANRE	Q5BJA5	H2B1_DANRE	zgc:114046	124	false	false	Danio rerio	Histone H2B 1/2	2:Experimental evidence at transcript level	12.10	1.0000	0.9990	0.00000000000000	2	0	2	1	0	1	1.46997232E8	0	1.46997232E8	2M(15.9949),5M(15.9949),2M(15.9949),5M(15.9949)		sp|Q6PC60|H2B3_DANRE, tr|A0A8M1QV93|A0A8M1QV93_DANRE, tr|A0A8M2BK11|A0A8M2BK11_DANRE, tr|A0A8N7UVW5|A0A8N7UVW5_DANRE, tr|B3DJF8|B3DJF8_DANRE, tr|F1R4A4|F1R4A4_DANRE, tr|R4GE15|R4GE15_DANRE
sp|Q6PBY1|RS3A_DANRE	Q6PBY1	RS3A_DANRE	rps3a	267	false	false	Danio rerio	40S ribosomal protein S3a	1:Experimental evidence at protein level	6.37	1.0000	0.9990	0.00000000000000	1	1	1	1	1	1	0	0	0			
sp|Q6PI20|H33_DANRE	Q6PI20	H33_DANRE	h3f3d	136	false	false	Danio rerio	Histone H3.3	2:Experimental evidence at transcript level	10.29	1.0000	0.9990	0.00000000000000	1	0	0	1	0	0	1.2636128E7	0	0			
