Protein	Protein ID	Entry Name	Gene	Length	Is Decoy	Is Contaminant	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Protein Qvalue	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
sp|O57521|HS90B_DANRE	O57521	HS90B_DANRE	hsp90ab1	725	false	false	Danio rerio	Heat shock protein HSP 90-beta	1:Experimental evidence at protein level	1.52	1.0000	0.9990	0.00000000000000	1	0	1	1	0	1	3264030.2	0	3264030.2			
sp|O77727|K1C15_SHEEP	O77727	K1C15_SHEEP	KRT15	453	false	false	Ovis aries	Keratin, type I cytoskeletal 15	2:Experimental evidence at transcript level	8.83	1.0000	0.9989	0.00000000000000	6	2	2	10	2	2	7.1587014E8	2.2007702E7	2.2007702E7			
sp|P00760|TRY1_BOVIN	P00760	TRY1_BOVIN	PRSS1	246	false	false	Bos taurus	Serine protease 1	1:Experimental evidence at protein level	13.82	1.0000	0.9988	0.00000000000000	2	2	2	3	3	3	642169.0	642169.0	642169.0	10C(57.0215),17C(57.0215),18C(57.0215),25C(57.0215)		
sp|P00761|TRYP_PIG	P00761	TRYP_PIG		231	false	false	Sus scrofa	Trypsin	1:Experimental evidence at protein level	34.63	1.0000	0.9990	0.00000000000000	8	8	8	102	102	102	1.26101299E10	1.26101299E10	1.26101299E10	17M(15.9949),17M(15.9949),17M(15.9949),17M(15.9949),2C(57.0215),9C(57.0215),2C(57.0215),9C(57.0215),37M(15.9949)		
sp|P00883|ALDOA_RABIT	P00883	ALDOA_RABIT	ALDOA	364	false	false	Oryctolagus cuniculus	Fructose-bisphosphate aldolase A	1:Experimental evidence at protein level	14.29	1.0000	0.9988	0.00000000000000	3	3	3	3	3	3	6295896.0	6295896.0	6295896.0	4C(57.0215)		
sp|P02662|CASA1_BOVIN	P02662	CASA1_BOVIN	CSN1S1	214	false	false	Bos taurus	Alpha-S1-casein	1:Experimental evidence at protein level	38.32	1.0000	0.9988	0.00000000000000	7	7	7	14	14	14	9.479616E7	9.479616E7	9.479616E7	11M(15.9949),11M(15.9949),3M(15.9949)		
sp|P02663|CASA2_BOVIN	P02663	CASA2_BOVIN	CSN1S2	222	false	false	Bos taurus	Alpha-S2-casein	1:Experimental evidence at protein level	20.27	1.0000	0.9789	0.00178997613365	4	4	4	3	3	3	5.422038E7	5.422038E7	5.422038E7			
sp|P02666|CASB_BOVIN	P02666	CASB_BOVIN	CSN2	224	false	false	Bos taurus	Beta-casein	1:Experimental evidence at protein level	14.73	1.0000	0.9990	0.00000000000000	3	3	3	6	6	6	7.404384E7	7.404384E7	7.404384E7	2M(15.9949),2M(15.9949)		
sp|P02668|CASK_BOVIN	P02668	CASK_BOVIN	CSN3	190	false	false	Bos taurus	Kappa-casein	1:Experimental evidence at protein level	32.63	1.0000	0.9989	0.00000000000000	3	3	3	4	4	4	3.0816192E7	3.0816192E7	3.0816192E7			
sp|P02768|ALBU_HUMAN	P02768	ALBU_HUMAN	ALB	609	false	false	Homo sapiens	Albumin	1:Experimental evidence at protein level	2.46	1.0000	0.9989	0.00000000000000	1	0	1	1	0	1	2854943.5	0	2854943.5			
sp|P02769|ALBU_BOVIN	P02769	ALBU_BOVIN	ALB	607	false	false	Bos taurus	Albumin	1:Experimental evidence at protein level	4.61	1.0000	0.9883	0.00063775510204	2	1	1	2	1	1	3150189.5	295246.06	295246.06			
sp|P02788|TRFL_HUMAN	P02788	TRFL_HUMAN	LTF	710	false	false	Homo sapiens	Lactotransferrin	1:Experimental evidence at protein level	2.68	1.0000	0.9990	0.00000000000000	1	1	1	2	2	2	163060.66	163060.66	163060.66			
sp|P04040|CATA_HUMAN	P04040	CATA_HUMAN	CAT	527	false	false	Homo sapiens	Catalase	1:Experimental evidence at protein level	13.66	1.0000	0.9988	0.00000000000000	5	4	5	5	4	5	2996168.5	2810439.8	2996168.5			
sp|P04264|K2C1_HUMAN	P04264	K2C1_HUMAN	KRT1	644	false	false	Homo sapiens	Keratin, type II cytoskeletal 1	1:Experimental evidence at protein level	60.25	1.0000	0.9990	0.00000000000000	45	41	45	97	89	97	3.1007721E9	3.1007721E9	3.1007721E9	11M(15.9949),8M(15.9949),11M(15.9949),8M(15.9949),22M(15.9949),2M(15.9949),2M(15.9949),5M(15.9949),5M(15.9949),6M(15.9949),7M(15.9949),8M(15.9949),8M(15.9949),9M(15.9949),9M(15.9949)		
sp|P07339|CATD_HUMAN	P07339	CATD_HUMAN	CTSD	412	false	false	Homo sapiens	Cathepsin D	1:Experimental evidence at protein level	7.52	1.0000	0.9968	0.00000000000000	2	2	2	2	2	2	1181859.2	1181859.2	1181859.2			
sp|P09211|GSTP1_HUMAN	P09211	GSTP1_HUMAN	GSTP1	210	false	false	Homo sapiens	Glutathione S-transferase P	1:Experimental evidence at protein level	12.38	1.0000	0.9987	0.00000000000000	2	2	2	2	2	2	943522.44	943522.44	943522.44			
sp|P10599|THIO_HUMAN	P10599	THIO_HUMAN	TXN	105	false	false	Homo sapiens	Thioredoxin	1:Experimental evidence at protein level	26.67	1.0000	0.9990	0.00000000000000	2	2	2	2	2	2	742035.8	742035.8	742035.8	24C(57.0215),27C(57.0215)		
sp|P13645|K1C10_HUMAN	P13645	K1C10_HUMAN	KRT10	584	false	false	Homo sapiens	Keratin, type I cytoskeletal 10	1:Experimental evidence at protein level	47.43	1.0000	0.9990	0.00000000000000	34	28	33	82	72	81	1.26875699E9	1.26875699E9	1.26875699E9	11M(15.9949),11M(15.9949),11M(15.9949),26M(15.9949),11M(15.9949),26M(15.9949),26M(15.9949),3M(15.9949),5M(15.9949),5M(15.9949)		
sp|P35527|K1C9_HUMAN	P35527	K1C9_HUMAN	KRT9	623	false	false	Homo sapiens	Keratin, type I cytoskeletal 9	1:Experimental evidence at protein level	64.69	1.0000	0.9990	0.00000000000000	43	42	43	92	91	92	1.19954714E9	1.19954714E9	1.19954714E9	15M(15.9949),15M(15.9949),15M(15.9949),25M(15.9949),8M(15.9949),15M(15.9949),5M(15.9949),15M(15.9949),5M(15.9949),15M(15.9949),5M(15.9949),3C(57.0215),3M(15.9949),5M(15.9949),5M(15.9949),5M(15.9949),5M(15.9949),5M(15.9949),5M(15.9949),5M(15.9949),6M(15.9949),8M(15.9949)		
sp|P35908|K22E_HUMAN	P35908	K22E_HUMAN	KRT2	639	false	false	Homo sapiens	Keratin, type II cytoskeletal 2 epidermal	1:Experimental evidence at protein level	82.47	1.0000	0.9990	0.00000000000000	45	40	43	74	68	71	9.3231405E8	4.9469584E8	4.9469584E8	10M(15.9949),10M(15.9949),10M(15.9949),10M(15.9949),1M(15.9949),23M(15.9949),23M(15.9949),6M(15.9949),7M(15.9949),7M(15.9949),8M(15.9949),9M(15.9949),9M(15.9949)		
