Protein	Protein ID	Entry Name	Gene	Length	Is Decoy	Is Contaminant	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Protein Qvalue	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
sp|P00761|TRYP_PIG	P00761	TRYP_PIG		231	false	false	Sus scrofa	Trypsin	1:Experimental evidence at protein level	23.38	1.0000	0.9990	0.00000000000000	5	5	5	42	42	42	3.58345216E9	3.58345216E9	3.58345216E9	17M(15.9949),17M(15.9949),17M(15.9949),17M(15.9949),37M(15.9949)		
sp|P04264|K2C1_HUMAN	P04264	K2C1_HUMAN	KRT1	644	false	false	Homo sapiens	Keratin, type II cytoskeletal 1	1:Experimental evidence at protein level	13.35	1.0000	0.9990	0.00000000000000	5	5	5	8	8	8	8.423816E7	8.423816E7	8.423816E7			
sp|P13645|K1C10_HUMAN	P13645	K1C10_HUMAN	KRT10	584	false	false	Homo sapiens	Keratin, type I cytoskeletal 10	1:Experimental evidence at protein level	8.73	1.0000	0.9990	0.00000000000000	3	3	3	4	4	4	4.7909848E7	4.7909848E7	4.7909848E7	11M(15.9949),11M(15.9949),26M(15.9949)		
sp|P35527|K1C9_HUMAN	P35527	K1C9_HUMAN	KRT9	623	false	false	Homo sapiens	Keratin, type I cytoskeletal 9	1:Experimental evidence at protein level	10.27	1.0000	0.9990	0.00000000000000	4	4	4	4	4	4	1.9764178E7	1.9764178E7	1.9764178E7			
sp|P35908|K22E_HUMAN	P35908	K22E_HUMAN	KRT2	639	false	false	Homo sapiens	Keratin, type II cytoskeletal 2 epidermal	1:Experimental evidence at protein level	11.11	1.0000	0.9990	0.00000000000000	3	3	3	3	3	3	9504744.0	9504744.0	9504744.0			
sp|Q7ZVF9|ACTB2_DANRE	Q7ZVF9	ACTB2_DANRE	actbb	375	false	false	Danio rerio	Actin, cytoplasmic 2	1:Experimental evidence at protein level	7.73	1.0000	0.9990	0.00000000000000	1	0	1	2	0	2	0	0	0	1M(15.9949),5M(15.9949)		
sp|Q7ZVI7|ACTB1_DANRE	Q7ZVI7	ACTB1_DANRE	actba	375	false	false	Danio rerio	Actin, cytoplasmic 1	1:Experimental evidence at protein level	7.73	1.0000	0.9990	0.00000000000000	1	0	0	2	0	0	0	0	0			
sp|Q90473|HSP7C_DANRE	Q90473	HSP7C_DANRE	hspa8	649	false	false	Danio rerio	Heat shock cognate 71 kDa protein	2:Experimental evidence at transcript level	3.39	1.0000	0.9990	0.00000000000000	1	0	1	1	0	1	3184355.2	0	3184355.2	14C(57.0215)		
sp|Q92005|EF1A_DANRE	Q92005	EF1A_DANRE	eef1a	462	false	false	Danio rerio	Elongation factor 1-alpha	2:Experimental evidence at transcript level	6.28	1.0000	0.9990	0.00000000000000	1	1	1	1	1	1	0	0	0	11C(57.0215)		
tr|A0A8M9Q636|A0A8M9Q636_DANRE	A0A8M9Q636	A0A8M9Q636_DANRE	tuba7l	468	false	false	Danio rerio	Tubulin alpha chain	1:Experimental evidence at protein level	8.76	1.0000	0.9972	0.00000000000000	2	1	1	2	1	1	3285521.5	0	0	15C(57.0215)		
tr|B8A516|B8A516_DANRE	B8A516	B8A516_DANRE	fb22g06	449	false	false	Danio rerio	Tubulin alpha chain	1:Experimental evidence at protein level	8.24	1.0000	0.9990	0.00000000000000	2	0	0	2	0	0	4213358.0	0	0			
tr|F1R9V3|F1R9V3_DANRE	F1R9V3	F1R9V3_DANRE	hspa8b	647	false	false	Danio rerio	Heat shock protein family A (Hsp70) member 8b	3:Protein inferred from homology	3.40	1.0000	0.9976	0.00000000000000	1	0	0	1	0	0	3184355.2	0	0			
tr|F1RCB6|F1RCB6_DANRE	F1RCB6	F1RCB6_DANRE	actc1a	377	false	false	Danio rerio	Actin alpha cardiac muscle 1a	1:Experimental evidence at protein level	6.10	1.0000	0.9990	0.00000000000000	1	0	1	1	0	1	1508826.1	0	1508826.1	2C(57.0215)		
tr|Q4KMI7|Q4KMI7_DANRE	Q4KMI7	Q4KMI7_DANRE	actc	377	false	false	Danio rerio	Actin, alpha 1b, skeletal muscle	1:Experimental evidence at protein level	7.43	1.0000	0.9990	0.00000000000000	1	0	1	2	0	2	3992573.2	0	3992573.2	1C(57.0215)		
tr|Q567E8|Q567E8_DANRE	Q567E8	Q567E8_DANRE	zgc:112098	377	false	false	Danio rerio	Acta1a protein	2:Experimental evidence at transcript level	6.10	1.0000	0.9990	0.00000000000000	1	0	0	1	0	0	1508826.1	0	0			
tr|Q5RG12|Q5RG12_DANRE	Q5RG12	Q5RG12_DANRE	hsp90a2	734	false	false	Danio rerio	Heat shock protein 90-alpha 2	1:Experimental evidence at protein level	3.68	1.0000	0.9990	0.00000000000000	1	1	1	1	1	1	0	0	0			
tr|Q6DC49|Q6DC49_DANRE	Q6DC49	Q6DC49_DANRE	tuba8l3a	450	false	false	Danio rerio	Tubulin alpha chain	2:Experimental evidence at transcript level	8.22	1.0000	0.9988	0.00000000000000	2	0	0	2	0	0	4213358.0	0	0			
tr|Q6IQL9|Q6IQL9_DANRE	Q6IQL9	Q6IQL9_DANRE	actc2	377	false	false	Danio rerio	Novel actin protein	2:Experimental evidence at transcript level	6.10	1.0000	0.9990	0.00000000000000	1	0	0	1	0	0	1508826.1	0	0			
tr|Q6NWI0|Q6NWI0_DANRE	Q6NWI0	Q6NWI0_DANRE	tuba8l	449	false	false	Danio rerio	Tubulin alpha chain	1:Experimental evidence at protein level	4.45	1.0000	0.9989	0.00000000000000	1	0	0	1	0	0	927836.25	0	0			
tr|Q6P972|Q6P972_DANRE	Q6P972	Q6P972_DANRE	zgc:73108	451	false	false	Danio rerio	Tubulin alpha chain	1:Experimental evidence at protein level	8.20	1.0000	0.9990	0.00000000000000	2	0	2	2	0	2	4213358.0	0	4213358.0	3C(57.0215),3C(57.0215)		
tr|Q6TGS5|Q6TGS5_DANRE	Q6TGS5	Q6TGS5_DANRE	zgc:76934	449	false	false	Danio rerio	Tubulin alpha chain	1:Experimental evidence at protein level	4.45	1.0000	0.9985	0.00000000000000	1	0	0	1	0	0	927836.25	0	0			
tr|Q7ZVI6|Q7ZVI6_DANRE	Q7ZVI6	Q7ZVI6_DANRE	fa93f03	450	false	false	Danio rerio	Tubulin alpha chain	1:Experimental evidence at protein level	8.22	1.0000	0.9990	0.00000000000000	2	0	0	2	0	0	4213358.0	0	0			
tr|Q4KMK1|Q4KMK1_DANRE	Q4KMK1	Q4KMK1_DANRE	zgc:109885	462	false	false	Danio rerio	Elongation factor 1-alpha	1:Experimental evidence at protein level	6.28	0.9998	0.9990	0.00000000000000	1	0	1	1	0	1	0	0	0	11C(57.0215)		
tr|A0A8M1NER1|A0A8M1NER1_DANRE	A0A8M1NER1	A0A8M1NER1_DANRE	tuba1c	451	false	false	Danio rerio	Tubulin alpha chain	3:Protein inferred from homology	13.53	0.0000	0.9990	0.00000000000000	3	0	1	3	0	1	7432937.0	0	3219579.0	15C(57.0215),15C(57.0215)		
